source_event_index,split,target_class,physical_muon_count,active_hits,active_hit_fraction,total_tot,mean_tot_active,max_tot_active,time_span,z_span,z_mean,radius_mean,radius_std,hit_dir_z_mean,hit_dir_z_std,primary_energy_mc,secondary_energy_mc,total_energy_mc,primary_dir_x_mc,primary_dir_y_mc,primary_dir_z_mc,secondary_dir_x_mc,secondary_dir_y_mc,secondary_dir_z_mc,secondary_direction_present_mc,primary_off_vertical_deg_mc,secondary_off_vertical_deg_mc,rec_dir_x_0,rec_dir_y_0,rec_dir_z_0,rec_dir_x_1,rec_dir_y_1,rec_dir_z_1
14223,train,2,3,93,0.181640625,2330.0,25.053763440860216,53.0,2036.0,163.271,107.58814264112904,736.5036122311828,1563.3484345621516,-0.08066320419311523,0.5785621262224996,4407.6245435025485,959.083243662266,5366.707787164814,0.2031623501454549,0.048797263646809794,-0.977928364730239,0.2031623501454549,0.048797263646809794,-0.977928364730239,True,12.06026739557273,12.06026739557273,0.2031623501454549,0.048797263646809794,-0.977928364730239,0.2031623501454549,0.048797263646809794,-0.977928364730239
14224,train,2,3,93,0.181640625,2575.0,27.688172043010752,76.0,1912.0,135.078,85.45323000672043,739.1824596774194,1569.0056323090248,-0.14586424058483494,0.643538012853488,4482.585091709847,1326.1382121951524,5808.723303904999,-0.7204759209025939,-0.0817860556630652,-0.6886403186705214,-0.7204759209025939,-0.0817860556630652,-0.6886403186705214,True,46.4774255489465,46.4774255489465,-0.7204759209025939,-0.0817860556630652,-0.6886403186705214,-0.7204759209025939,-0.0817860556630652,-0.6886403186705214
14225,test,2,3,80,0.15625,1963.0,24.5375,53.0,1960.0,153.217,104.00360107421875,737.718505859375,1714.3454917971067,-0.1978382110595703,0.6781611525210931,845.7589520203209,160.29401783599607,1006.052969856317,0.8039314033085999,-0.21545937172878363,-0.5543208077535093,0.8039314033085999,-0.21545937172878363,-0.5543208077535093,True,56.3360535586253,56.3360535586253,0.8039314033085999,-0.21545937172878363,-0.5543208077535093,0.8039314033085999,-0.21545937172878363,-0.5543208077535093
14226,train,1,2,51,0.099609375,1251.0,24.529411764705884,35.0,2050.0,163.943,89.44974532781863,738.3958333333334,2220.034856376095,-0.05370266297284294,0.5726404464235039,370.60090043242747,304.54246923229044,675.143369664718,0.005711993767467761,-0.45798609319048145,-0.8889410056754723,0.005711993767467761,-0.45798609319048145,-0.8889410056754723,True,27.259525671834133,27.259525671834133,0.005711993767467761,-0.45798609319048145,-0.8889410056754723,0.005711993767467761,-0.45798609319048145,-0.8889410056754723
14227,train,2,3,109,0.212890625,2834.0,26.0,39.0,2288.0,163.168,131.44065366972478,734.1616972477065,1411.7114502172226,0.0817493998676265,0.5269430752711358,2200.1029445742565,233.5367711080234,2433.63971568228,-0.05092440490762583,0.09776038788234688,-0.9939062388102297,-0.05092440490762583,0.09776038788234688,-0.9939062388102297,True,6.328505077399318,6.328505077399318,-0.05092440490762583,0.09776038788234688,-0.9939062388102297,-0.05092440490762583,0.09776038788234688,-0.9939062388102297
14228,train,2,3,43,0.083984375,1122.0,26.093023255813954,35.0,2048.0,163.203,144.48604424055233,738.4998183139535,2438.9833787484026,-0.06863441023715706,0.5814534733904216,1011.0878318184538,334.4043519074407,1345.4921837258944,0.048414082898216595,-0.7475270215224903,-0.6624646622053428,0.048414082898216595,-0.7475270215224903,-0.6624646622053428,True,48.511886077467366,48.511886077467366,0.048414082898216595,-0.7475270215224903,-0.6624646622053428,0.048414082898216595,-0.7475270215224903,-0.6624646622053428
14229,train,2,3,164,0.3203125,4547.0,27.725609756097562,80.0,2008.0,162.379,129.93123570884146,742.6579173018292,1081.8782501215892,-0.04863947193797042,0.5408592661135071,21660.585479919613,115.76541367093229,21776.350893590545,-0.1175547399009009,-0.5135833457664878,-0.8499488396827963,-0.1175547399009009,-0.5135833457664878,-0.8499488396827963,True,31.793894658330835,31.793894658330835,-0.1175547399009009,-0.5135833457664878,-0.8499488396827963,-0.1175547399009009,-0.5135833457664878,-0.8499488396827963
14230,test,1,2,84,0.1640625,2226.0,26.5,72.0,2048.0,163.579,76.8572998046875,741.48828125,1673.774332157759,-0.10470989772251674,0.5832407711390166,1331.7369348288908,155.95478494287497,1487.6917197717657,-0.28649986509067393,0.3451549733533571,-0.8937482149198783,-0.28649986509067393,0.3451549733533571,-0.8937482149198783,True,26.65190809406342,26.65190809406342,-0.28649986509067393,0.3451549733533571,-0.8937482149198783,-0.28649986509067393,0.3451549733533571,-0.8937482149198783
14231,train,2,3,67,0.130859375,1669.0,24.91044776119403,76.0,1712.0,153.38,144.25125349813433,731.9457789179105,1886.3694245294398,0.02404881057454579,0.5284112094877123,3437.8100497469654,260.8532846609839,3698.663334407949,0.5559386069574581,0.23587743835919034,-0.7970533855190047,0.5559386069574581,0.23587743835919034,-0.7970533855190047,True,37.15036445413718,37.15036445413718,0.5559386069574581,0.23587743835919034,-0.7970533855190047,0.5559386069574581,0.23587743835919034,-0.7970533855190047
14232,train,0,1,58,0.11328125,1676.0,28.896551724137932,87.0,1758.25,152.907,133.59994612068965,745.8491379310345,2086.747241792372,-0.13958842178870892,0.6950557407005659,1476.8732794887806,1476.8732794887806,2953.746558977561,0.154037303915693,-0.7534993928080462,-0.6391487886558889,0.0,0.0,0.0,False,50.271623940207064,,0.154037303915693,-0.7534993928080462,-0.6391487886558889,0.154037303915693,-0.7534993928080462,-0.6391487886558889
